Название вакансии,Название компании,Зарплата,Ссылка на вакансию
Backend-разработчик,ООО Софт Инжиниринг,Backend-разработчик,https://tomsk.hh.ru/vacancy/117811944?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-аналитик,"ЛАМА, Группа компаний",Программист-аналитик,https://tomsk.hh.ru/vacancy/110191916?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист Backend Python (ML) + GO,Neo Stack Technology,Сейчас смотрят 2 человека,https://tomsk.hh.ru/vacancy/110338871?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик мобильных приложений под iOS и Android,ООО Первая Свободная Платформа Легальной Музыки,Сейчас смотрят 2 человека,https://tomsk.hh.ru/vacancy/118287701?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-разработчик,ООО ЛЭМЗ-Т,Инженер-разработчик,https://tomsk.hh.ru/vacancy/95877891?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
C++ Developer 3D,Rubius,Сейчас смотрит 1 человек,https://tomsk.hh.ru/vacancy/114903659?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП,Latat,Инженер-программист АСУ ТП,https://tomsk.hh.ru/vacancy/86638677?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend–разработчик (React) | React Developer,Rubius,Сейчас смотрят 8 человек,https://tomsk.hh.ru/vacancy/114970089?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик встраиваемых систем\Senior embedded developer,Алабуга. Проектный менеджмент,Разработчик встраиваемых систем\Senior embedded developer,https://tomsk.hh.ru/vacancy/118285274?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend разработчик (Python),ООО Спутник,Backend разработчик (Python),https://tomsk.hh.ru/vacancy/116493668?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик 1С,"Компания Водяной,ООО",Программист-разработчик 1С,https://tomsk.hh.ru/vacancy/118182498?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Unity VR разработчик,ИП Алексеевский Владислав Андреевич,Сейчас смотрит 1 человек,https://tomsk.hh.ru/vacancy/118328583?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Golang разработчик,ООО Криптон Студио,Golang разработчик,https://tomsk.hh.ru/vacancy/117141620?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (производство),АО ИнфоТеКС,Программист 1С (производство),https://tomsk.hh.ru/vacancy/116088186?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend–разработчик (Java) | Java Developer,Rubius,Сейчас смотрят 8 человек,https://tomsk.hh.ru/vacancy/117893657?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик C++,АО ИнфоТеКС,Разработчик C++,https://tomsk.hh.ru/vacancy/118264035?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик (Vue) | Vue Developer,Rubius,Сейчас смотрят 3 человека,https://tomsk.hh.ru/vacancy/118252107?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend разработчик React (Middle),ООО Спутник,Frontend разработчик React (Middle),https://tomsk.hh.ru/vacancy/116148531?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle Backend-разработчик (Python),ООО Спутник,Сейчас смотрит 1 человек,https://tomsk.hh.ru/vacancy/116385562?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Мален Ти,Программист 1С,https://tomsk.hh.ru/vacancy/118139490?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик Oracle (PL/SQL),ООО Совкомбанк Технологии,Разработчик Oracle (PL/SQL),https://tomsk.hh.ru/vacancy/110281126?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend PHP developer (symfony) на проект ДБО,ООО Совкомбанк Технологии,Backend PHP developer (symfony) на проект ДБО,https://tomsk.hh.ru/vacancy/113721126?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Senior Backend Developer (Node.js),Queen Interactive Games Ltd,Senior Backend Developer (Node.js),https://tomsk.hh.ru/vacancy/116435994?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-разработчик FPGA,ООО ЛЭМЗ-Т,Сейчас смотрит 1 человек,https://tomsk.hh.ru/vacancy/116054014?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
C# разработчик CAD систем (middle),АО ТомскНИПИнефть,C# разработчик CAD систем (middle),https://tomsk.hh.ru/vacancy/117215883?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист 1С,ООО Софт Инжиниринг,Ведущий программист 1С,https://tomsk.hh.ru/vacancy/117885726?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Project manager (intern/junior),VR DEV,Сейчас смотрят 2 человека,https://tomsk.hh.ru/vacancy/118182778?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
